Universite Paul Sabatier	Universite Paul Sabatier;;	WOS:000268585700069;;
Brazilian National Research Centers CNPq	national research;;CNPq;;CEN;;Brazilian National Research Centers CNPq;;	WOS:000333806700147;;WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;WOS:000392233300002;;WOS:000281445600026;;
Genentech	Genentech;;	WOS:000394446804110;;
National Outstanding Youth Foundation of China	National Outstanding Youth Foundation of China;;	WOS:000261801700021;WOS:000262822500004;;
International Solid Waste Association	International Solid Waste Association;;	WOS:000389800800002;;
US National Aeronautics and Space Administration	US National Aeronautics and Space Administration;;National Aeronautics and Space Administration;;	WOS:000281000700001;;WOS:000352279200034;WOS:000292888200019;;
Science Fund of Hebei University of Science and Technology	Science Fund of Hebei University of Science and Technology;;	WOS:000241452301119;;
Knowledge Park Bangalore	NGA;;Knowledge Park Bangalore;;	WOS:000282328800025;;WOS:000400689900150;;
CSIR-India	CSIR-India;;	WOS:000265398300016;;
Universidad Nacional de San Luis	Universidad Nacional de San Luis;;NAC;;	WOS:000344163600004;WOS:000265091900010;;WOS:000318143200003;;
Research and Projects Financing  FINEP	Research and Projects Financing  FINEP;FINEP  Brazilian Agency;;	WOS:000316522900030;WOS:000280558500028;;
